typeClass,disorder,medicine,symptom1,symptom2,symptom3,symptom4,symptom5,symptom6,symptom7,symptom8,symptom9,symptom10,symptom11,symptom12,symptom13,symptom14,symptom15,symptom16,symptom17,symptom18,symptom19,symptom20,symptom21,symptom22,symptom23,symptom24,symptom25,symptom26,symptom27,symptom28,symptom29,symptom30,symptom31,symptom32,symptom33,symptom34,symptom35,symptom36,symptom37,symptom38,symptom39,symptom40,symptom41,symptom42,symptom43,symptom44,symptom45,symptom46,symptom47,symptom48,symptom49,symptom50,symptom51,symptom52,symptom53,symptom54,symptom55,symptom56,symptom57,symptom58,symptom59,symptom60,symptom61,symptom62,symptom63,symptom64,symptom65,symptom66,symptom67,symptom68,symptom69,symptom70,symptom71,symptom72,symptom73,symptom74,symptom75,symptom76

30,Skin_and_Soft_Tissue_Infections,"Skin_abscess
Incision_and_drainage:
Consider_using_a_loop_drain.
Irrigation_and_packing_are_generally_not_beneficial.
Adjunctive_anti-staphylococcal_(MRSA)_antibiotics_are_beneficial,_although_not_always_required.
Adults
Choose_one_of_the_following:_(in_alphabetical_order)
Clindamycin_300-450_mg_by_mouth_every_6_to_8_hours_for_5_to_7_days_(maximum_daily_dose_1,800_mg).
Doxycycline_100_mg_by_mouth_every_12_hours_for_5_to_7_days.
Trimethoprim-sulfamethoxazole_160_mg/800_mg;_1_tablet_by_mouth_every_12_hours_for_5_to_7_days.
If_intravenous_antibiotics_are_needed
Choose_one_of_the_following:_(in_alphabetical_order)
Clindamycin_600-900_mg_intravenous_every_8_hours
Vancomycin_loading_dose_20-35_mg/kg_(maximum_dose_3,000_mg)_followed_by_15-20_mg/kg_intravenous_every_8_or_12_hours
Pediatric
Choose_one_of_the_following:_(in_alphabetical_order)
Clindamycin_10_mg/kg/dose_by_mouth_every_8_hours_for_5_to_7_days_(maximum_450_mg_per_dose).
Doxycycline_2.2_mg/kg/dose_by_mouth_every_12_hours_for_5_to_7_days_(maximum_dose_100_mg).
Note:_Doxycycline_is_not_recommended_in_children_<8_years_old.
Trimethoprim-sulfamethoxazole_4-6_mg/kg/dose_(based_on_the_trimethoprim_component)_by_mouth_every_12_hours_for_5_to_7_days_(maximum_dose_320_mg_trimethoprim).
If_intravenous_antibiotics_are_needed
Choose_one_of_the_following:_(in_alphabetical_order)
Clindamycin_10_mg/kg/dose_intravenous_every_8_hours_(maximum_dose_600_mg)
Vancomycin
Dose:_Based_on_age
1_month_to_8_years
17.5_mg/kg/dose_intravenous_every_6_hours_(maximum_dose_900_mg)
9-12_years
15_mg/kg/dose_intravenous_every_6_hours_(maximum_dose_900_mg)
>13_years
20_mg/kg/dose_intravenous_every_8_hours_(maximum_dose_1,200_mg)
Discharge_Instructions_Following_Abscess_Drainage_To_Prevent_Spread_of_Staphylococcus_aureus_Within_Households
Discharge_instructions_should_specify_frequent_post-incision_and_drainage_soaking_and_cleansing_with_soapy_water,_and_measures_to_prevent_the_household_spread_of_Staph._aureus.
Non-purulent_cellulitis
Administer_anti-streptococcal_antibiotics_with_activity_against_methicillin-sensitive_Staph._Aureus.
Adults
Choose_one_of_the_following:_(in_alphabetical_order)
Cephalexin_500_mg_by_mouth_every_6_hours_for_5_to_7_days.
Clindamycin_300_mg_by_mouth_every_8_hours_for_5_to_7_days.
Note:_Clindamycin_is_generally_given_if_a_cephalosporin_or_penicillin_cannot_be_used.
Dicloxacillin_500_mg_by_mouth_every_6_hours_for_5_to_7_days.
If_intravenous_antibiotics_are_needed,_choose_one_of_the_following:_(in_alphabetical_order)
Cefazolin_1,000_mg_(1_g)_intravenous_every_8_hours
Nafcillin_2,000_mg_(2_g)_intravenous_every_4_hours
Pediatric
Choose_one_of_the_following:_(in_alphabetical_order)
Cephalexin_12.5_mg/kg/dose_by_mouth_every_6_hours_for_5_to_7_days_(maximum_dose_500_mg).
Clindamycin_10_mg/kg/dose_by_mouth_every_8_hours_for_5_to_7_days_(maximum_450_mg_per_dose).
Note:_Clindamycin_is_generally_given_if_a_cephalosporin_or_penicillin_cannot_be_used.
Dicloxacillin_6.25_mg/kg_by_mouth_every_6_hours_for_5_to_7_days_(maximum_dose_500_mg).
If_intravenous_antibiotics_are_needed,_choose_one_of_the_following:_(in_alphabetical_order)
Cefazolin_12.5-25_mg/kg_intravenous_every_8_hours_(maximum_dose_1,000_mg)
Nafcillin_25-50_mg/kg_intravenous_every_4_hours_(maximum_dose_2,000_mg)
Treat_associated_fungal_infection_(intertrigo)_if_present_(eg,_clotrimazole,_ketoconazole).
Add_a_non-steroidal_anti-inflammatory_drug_(eg,_ibuprofen,_naproxen)_for_the_inflammatory_component.
Treatment_failure_is_most_often_due_to_occult_underlying_abscess_(ie,_the_cellulitis_was_actually_purulent_cellulitis);_incision_and_drainage_if_possible_and_add_anti-methicillin-resistant_Staph._aureus_coverage.
Impetigo
Gently_wash_crusts_with_soap_and_water
Topical_therapy_for_limited_infection.
Choose_one_of_the_following:_(in_alphabetical_order)
Mupirocin_2%_ointment_applied_to_the_affected_area(s)_every_8_hours_for_10_days.
Retapamulin_1%_ointment_applied_to_the_affected_area(s)_every_12_hours_for_5_days.
Retapmulin_is_not_recommended_in_children_<9_months_of_age.
Systemic_therapy_for_extensive_infection.
Adults
Choose_one_of_the_following:_(in_alphabetical_order)
Cephalexin_500_mg_by_mouth_every_6_hours_for_5_to_7_days.
Dicloxacillin_500_mg_by_mouth_every_6_hours_for_5_to_7_days.
Pediatric
Choose_one_of_the_following:_(in_alphabetical_order)
Cephalexin_12.5_mg/kg/dose_by_mouth_every_6_hours_for_5_to_7_days_(maximum_dose_500_mg).
Dicloxacillin_6.25_mg/kg_by_mouth_every_6_hours_for_5_to_7_days_(maximum_dose_500_mg).
If_MRSA_suspected
Adults
Choose_one_of_the_following:_(in_alphabetical_order)
Clindamycin_300-450_mg_by_mouth_every_6_to_8_hours_for_5_to_7_days_(maximum_daily_dose_1,800_mg).
Doxycycline_100_mg_by_mouth_every_12_hours_for_5_to_7_days.
Trimethoprim-sulfamethoxazole_160_mg/800_mg;_1_tablet_by_mouth_every_12_hours_for_5_to_7_days.
Pediatric
Choose_one_of_the_following:_(in_alphabetical_order)
Clindamycin_10_mg/kg/dose_by_mouth_every_8_hours_for_5_to_7_days_(maximum_450_mg_per_dose).
Doxycycline_2.2_mg/kg/dose_by_mouth_every_12_hours_for_5_to_7_days_(maximum_dose_100_mg).
Note:_Doxycycline_is_not_recommended_in_children_<8_years_old.
Trimethoprim-sulfamethoxazole_4-6_mg/kg/dose_(based_on_the_trimethoprim_component)_by_mouth_every_12_hours_for_5_to_7_days_(maximum_dose_320_mg_trimethoprim).
Necrotizing_skin_and_soft_tissue_infections
Surgical_debridement.
Broad_empiric_antibiotic_coverage_targeting_Streptococcus_pyogenes,_Clostridium_spp.,_MRSA,_and_gram-negative_bacteria:
Adults_(Polydrug_regimen)
Regimen_(give_all_medications_below)
Clindamycin_900_mg_intravenous_every_8_hours.
Piperacillin-tazobactam_intravenous_4.5_g_intravenous_every_6_hours.
Vancomycin_loading_dose_20-35_mg/kg_(maximum_3,000_mg)_followed_by_15-20_mg/kg_intravenous_every_8_or_12_hours.
Pediatric_(Polydrug_regimen)
Regimen_(give_all_medications_below)
Clindamycin_10-13_mg/kg_intravenous_every_8_hours_(maximum_900_mg_per_dose)
Piperacillin-tazobactam
Dose:_Based_on_age_and_weight
2-9_months:
80_mg/kg/dose_(based_on_piperacillin_component)_intravenous_every_8_hours_(maximum_dose_3,000_mg_piperacillin)
>9_months_and/or_<40_kg
100_mg/kg/dose_(based_on_piperacillin_component)_intravenous_every_6_hours_(maximum_dose_4,000_mg_piperacillin)
>40_kg:
4,000_mg_(based_on_piperacillin_component)_intravenous_every_6_hours
Vancomycin
Dose:_Based_on_age
1_month_to_8_years
17.5_mg/kg/dose_intravenous_every_6_hours_(maximum_dose_900_mg)
9-12_years
15_mg/kg/dose_intravenous_every_6_hours_(maximum_dose_900_mg)
>13_years
20_mg/kg/dose_intravenous_every_8_hours_(maximum_dose_1,200_mg)
Resuscitation_for_sepsis_or_septic_shock.",Skin_abscess,Abscess_examples,Fluctuant_swelling,Purulent_drainage,Circular_patch_of_purulent_cellulitis_surrounding_the_purulent_focus,Hypoechoic_collection_often_visible_on_point-of-care_ultrasound,Non-purulent_cellulitis,Preexisting_edema,Often_located_on_the_lower_extremity,Cellulitis_in_a_circumferential_pattern_around_the_involved_limb,Absence_of_purulence_(though_fluid-filled_blisters_can_occur),Impetigo,Non-bullous_impetigo:_Localized_papular_and_vesicular_eruption_that_forms_a_characteristic_golden_crust,Bullous_impetigo:_Localized_vesicular_and_flaccid_bullous_eruption,Necrotizing_skin_and_soft_tissue_infection,Necrotizing_skin_and_soft_tissue_infection_examples,Injection_drug_use_is_a_potential_risk_factor,Fever_is_present_in_only_40%_of_cases,?Hard_findings?_(bullae,crepitus,necrosis)_may_be_absent_at_presentation,Extreme_leukocytosis_and_hyponatremia,Signs_of_sepsis_or_septic_shock,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan

31,Skin_Cancer,"Nonmelanoma_skin_cancer
Electrodessication_and_curettage
Mohs_micrographic_surgery
Radiotherapy_for_squamous_cell_carcinoma_in_areas_with_concern_for_cosmetic_outcomes
Topical_imiquimod_or_5-fluorouracil_in_patients_who_are_not_amenable_to_Mohs_surgery_or_radiotherapy_may_be_used_by_a_dermatologist.
Immunotherapy_for_basal_cell_carcinoma:_Anti-PD-1
Melanoma
Wide_surgical_excision_(0.5-2_cm_depending_on_depth)
Targeted_therapy:_B-Raf_proto-oncogene_(BRAF)_and_mitogen-activated_protein_kinase_kinase_(MEK)_inhibitors
Immunotherapy:_Anti-T-lymphocyte-associated_protein_4_(Anti-CTLA-4)_and_anti-programmed_cell_death_protein_1_(Anti-PD-1)
Radiotherapy:_Older_patients_who_may_not_tolerate_excision,_bone_metastases,_and_certain_brain_metastases",Differential_diagnosis,Actinic_keratosis_(predisposes_to_squamous_cell_carcinoma),Non-cancerous_skin_lesions:_Eczema,psoriasis,seborrheic_keratosis,prurigo_nodularis,hemangioma,Infectious:_Dermatophytosis,tinea,pyoderma_gangrenosum,Diagnostic_tests,Serum_laboratory_testing_is_generally_not_necessary_for_the_diagnosis_of_skin_cancer,A_complete_blood_cell_count,serum_chemistry,and_lactate_dehydrogenase_may_be_obtained_in_consultation_with_dermatology_if_required_for_treatment_initiation,Imaging_is_also_not_necessary_for_the_diagnosis_of_skin_cancer,unless_suspicious_for_symptomatic_and_undiagnosed_metastatic_disease_(eg,lungs),Dermatoscopy_(handheld_microscopy)_and_biopsy_(punch,shave,incisional,or_excisional)_are_the_gold_standard,although_neither_are_routinely_performed_in_the_ED,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan

32,Ulcerative_Lesions,"Venous_stasis_ulcers
First-line_treatment_is_conservative_measures_to_include_compression_therapy_(such_as_compression_bandages,_stockings,_Unna_boots)_along_with_wound_dressing_(maintaining_a_moist_environment),_leg_elevations,_and_exercise.
Administer_oral/intravenous_antibiotics_if_an_infection_is_suspected.
Most_ulcers_will_have_a_local_biofilm_that_does_not_improve_with_antibiotics._However,_if_clinical_signs_of_infection_develop,_antibiotics_are_indicated.
Most_cases_can_be_managed_on_an_outpatient_status;_ensure_follow-up_with_the_primary_care_physician_or_refer_to_a_wound_care_specialist.
Surgical_options_include_debridement,_skin_grafting,_or_vascular_procedures_such_as_endovenous,_laser,_or_radiofrequency_ablation,_phlebectomy,_sclerotherapy,_ligation,_and_stripping.
Ischemic_ulcers
Ischemic_ulcers_will_need_revascularization_and_require_a_referral_to_a_vascular_surgeon_or_interventional_radiologist_for_angioplasty_+/-_stenting.
Debridement_should_be_limited_until_the_vascular_supply_is_improved.
Exercise_is_encouraged_to_improve_vascularization_while_reversible_causes_are_addressed.
Diabetic_foot_ulcers
Administer_antibiotics_to_control_infection.
Chronic_ulcers_likely_require_methicillin-resistant_Staphylococcus_aureus_coverage.
Intravenous_antibiotics_are_required_for_an_infection_of_deep_fascia.
If_the_patient_is_critically_ill,_resuscitation_is_needed_with_broad-spectrum_intravenous_antibiotics,_intravenous_fluids,_or_vasopressors_for_septic_shock_and_insulin_infusion_to_control_hyperglycemia.
Surgical_consultation_is_needed_if_there_is_soft_tissue_erythema,_swelling,_crepitus,_or_gangrene.
The_patient_will_likely_require_serial_debridements_and_possible_amputation_or_foot_disarticulation.
The_Infectious_Diseases_Society_of_America_recommends_multidisciplinary_management_by_endocrinology,_podiatry,_surgery,_and_social_work.
Decubitus_ulcers
Off-load_the_pressure_by_alternating_positions,_using_pressure-distributing_positioning_aids,_or_using_alternating-pressure_mattresses_or_air-cushion_beds.
Promote_movement_as_much_as_possible.",Diagnostic_tests,Complete_blood_count,To_evaluate_for_leukocytosis,X-ray,To_evaluate_emphysematous_changes_(soft_tissue_air),signs_of_osteomyelitis_(cortical_bone_erosion,periosteal_elevation),foreign_bodies,Erythrocyte_sedimentation_rate/C-reactive_protein,Can_be_considered_to_screen_for_infectious_processes_such_as_osteomyelitis,Ultrasound,Can_be_considered_to_evaluate_for_DVT,Ankle-brachial_index_(ABI),Can_be_considered_if_there_is_concern_for_peripheral_arterial_disease_(PAD)_(normal:_0.9_to_1.3;_a_value_of_less_than_0.9_has_95%_sensitivity_and_specificity_for_PAD),Computed_tomography_(CT)_scan,Can_be_considered_if_there_is_concern_for_severe_infection,CT_angiography,Can_be_considered_if_there_is_concern_for_an_ischemic_limb,May_eventually_need_magnetic_resonance_imaging,To_evaluate_for_osteomyelitis;_magnetic_resonance_angiography_(MRA)_may_be_needed_to_image_for_arterial_patency,May_eventually_need_biopsy,Differential_diagnosis,Pyoderma_gangrenosum,Cellulitis_or_invasive_infectious_process,Vasculitis,Sickle_cell_disease,Calciphylaxis,Malignancy,Brown_recluse_spider_bite,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan

33,Urticaria,"Associated_anaphylaxis_should_be_treated_first_with_epinephrine_(see_Rapid_Access_section)
A_second-generation_antihistamine_is_the_recommended_first-line_therapy_for_acute_urticaria.
Choose_one_of_the_following_for_treatment:
Cetirizine_10_mg_intravenous_or_by_mouth_once_a_day_in_patients_ò6_years
Pediatric_dose:
Age_6_months_to_5_years:_Cetirizine_2.5_mg_intravenous_or_by_mouth_once_a_day
Oral_solutions_(1_mg/mL)_and_chewable_tablets_(5_mg_and_10_mg)_are_available_for_easier_administration.
Note:_This_is_the_preferred_antihistamine.
The_intravenous_formulation_is_not_widely_available_and_is_contraindicated_in_patients_<6_years_of_age_with_hepatic_or_renal_impairment.
Desloratadine_5_mg_by_mouth_once_a_day_in_patients_ò12_years
Pediatric_dose:
Age_6_months_to_11_months:_Desloratadine_1_mg_(2_mL_of_0.5_mg/mL_syrup)_once_a_day
Age_12_months_to_5_years:_Desloratadine_1.25_mg_(2.5_mL_of_0.5_mg/mL_syrup)_once_a_day
Age_6_years_to_11_years:_Desloratadine_2.5_mg_(5_mL_of_0.5_mg/mL_syrup)_once_a_day
Loratadine_10_mg_by_mouth_once_a_day_in_patients_ò6_years
Pediatric_dose:
Age_2_years_to_5_years:_Loratadine_5_mg_by_mouth_once_a_day
Oral_solutions_(1_mg/mL)_and_chewable_tablets_(5_mg_and_10_mg)_are_available_for_easier_administration.
Levocetirizine_5_mg_by_mouth_once_a_day_for_patients_>11_years
Pediatric_dose:
Age_6_months_to_5_years:_Levocetirizine_1.25_mg_(2.5_mL_of_oral_solution)_by_mouth_once_a_day
Age_6_years_to_11_years:_Levocetirizine_2.5_mg_by_mouth_once_a_day
Fexofenadine_60_mg_by_mouth_every_12_hours_in_patients_ò12_years
Pediatric_dose:
Age_6_months_to_2_years:_Fexofenadine_15_mg_by_mouth_every_12_hours
Age_2_years_to_11_years:_Fexofenadine_30_mg_by_mouth_every_12_hours
The_routine_use_of_first-generation_antihistamines_is_no_longer_recommended_in_pediatric,_adult,_and_geriatric_patients._These_medicines_have_been_available_since_the_1950s_and_have_clinically_relevant_sedative_and_anticholinergic_effects._They_also_interact_with_many_other_classes_of_medications_and_ethanol.
Choose_one_of_the_following_if_second-generation_antihistamines_are_unavailable:
Diphenhydramine_25-50_mg_intravenous/intramuscular/oral_every_4-6_hours_as_needed_for_continued_urticarial_rash
Pediatric_dose:
Diphenhydramine_1-2_mg/kg_intravenous,_intramuscular,_or_by_mouth_every_6_hours_as_needed_for_continued_urticarial_rash_(maximum_dose_50_mg)
Hydroxyzine:_25-50_mg_intramuscular_or_by_mouth_every_6_hours_as_needed_for_continued_urticarial_rash
Pediatric_dose:
Hydroxyzine_0.5_mg/kg_intramuscular_or_by_mouth_every_6_hours_as_needed_for_continued_urticarial_rash_(maximum_50_mg_per_day_in_children_<6_years_and_100_mg_per_day_in_children_>6_years)
A_short_course_of_glucocorticoids_may_be_carefully_considered_for_a_subset_of_patients_who_experience_persistent_symptoms_despite_antihistamines_or_who_have_prominent_angioedema.
Choose_one_of_the_following_for_treatment:
Dexamethasone_10-12_mg_intravenous,_intramuscular,_or_by_mouth_once_a_day_for_5-7_days_(maximum_dose_16_mg)
Pediatric_dose:
Dexamethasone_0.3-0.6_mg/kg_intravenous,_intramuscular,_or_by_mouth_once_a_day_for_5-7_days_(maximum_dose_16_mg)
Shorter_courses_(eg,_2_days)_may_be_as_effective_as_prolonged_(5-7_day)_courses_of_prednisone_due_to_the_long_duration_of_action_of_dexamethasone.
Note:_Preferred_for_pediatric_patients_due_to_less_vomiting_with_oral_solution_compared_with_prednisolone.
Methylprednisolone_40-125_mg_intravenous_or_by_mouth_as_a_single_daily_dose_for_5-7_days_(maximum_dose_125_mg)
A_6-day_methylprednisolone_dose_pack_is_available_for_convenient_tablet_organization_and_administration.
Pediatric_dose:
Methylprednisolone_1-2_mg/kg_intravenous_or_by_mouth_as_a_single_daily_dose_for_5-7_days_(maximum_dose_60_mg)
Prednisone_60_mg_by_mouth_once_a_day_for_5-7_days
Pediatric_dose:
Prednisone_1_mg/kg_by_mouth_once_a_day_for_5-7_days_(maximum_dose_60_mg)
Prednisolone_60_mg_by_mouth_once_a_day_for_5-7_days_(maximum_dose_60_mg)
Pediatric_dose:
Prednisolone_1_mg/kg_by_mouth_once_a_day_for_5-7_days_(maximum_dose_60_mg)",Differential_diagnosis,The_differential_diagnosis_for_this_skin_finding_should_include,anaphylaxis,dermatitis_(contact_and_atopic),drug_eruptions,erythema_multiforme,insect_bites,urticarial_vasculitis,systemic_illness,Diagnostic_tests,Urticaria_is_a_clinical_diagnosis,A_careful_history_and_physical_examination_is_often_all_that_is_needed,If_lesions_are_no_longer_present,asking_to_see_photographs_is_often_helpful._Similarly,placing_a_photographic_record_of_the_lesions_in_the_electronic_medical_record_might_be_useful_to_future_clinicians,Typically_(especially_in_the_urgent_setting)_lab_tests,blood_cultures,or_any_sort_of_imaging_modality_are_not_needed_for_the_diagnosis_of_urticaria,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan

34,Viral_Infections_and_Exanthems,"Treatment_is_often_supportive_with_antipyretics_and_adequate_hydration.
Emollients_may_be_used_to_moisten_dry_skin.
Rashes_are_not_typically_pruritic,_and_antipruritic_agents_are_not_usually_indicated.",Diagnostic_tests,The_diagnosis_is_often_clinical,Confirmatory_testing_can_be_useful_from_a_public_health_perspective,especially_for_a_highly_communicable_disease,Differential_diagnosis,Anaphylaxis,Chickenpox,Disseminated_cryptococcus,Drug_allergy,Erythema_infectiosum,Infectious_mononucleosis,Kawasaki_disease,Measles,Meningococcus,Multisystem_inflammatory_syndrome_in_children_(MIS-C),Molluscum_contagiosum,Mumps,Roseola,Rubella,Scarlet_fever,Streptococcal_pharyngitis,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan

35,Acid-Base_Disorders,"The_most_important_therapy_when_treating_disturbances_in_acid-base_physiology_is_to_identify_and_treat_the_underlying_cause.
Balanced_vs._hyperchloremic_fluids:
Many_investigations_have_studied_the_use_of_balanced_vs._hyperchloremic_IV_fluids,_most_notably_0.9%_sodium_chloride._In_this_case,_the_concern_is_that_the_chloride_content_of_0.9%_sodium_chloride_is_supraphysiologic,_which_can_lead_to_an_elevated_serum_chloride_level_and_thus_a_hyperchloremic_acidosis._Some_early_data_suggest_that_elevated_serum_chloride_levels_can_lead_to_an_increase_in_the_incidence_of_acute_kidney_injury,_the_need_for_dialysis,_and_renal_failure._Despite_these_concerns,_multiple_large_randomized_controlled_trials_have_failed_to_identify_a_consistent_signal_of_harm._Fluid_choices_are_discussed_in_more_detail_in_the_?Deep_Dive?_section;_otherwise,_it_is_most_important_to_note_that_the_initial_fluid_selection_during_treatment_in_the_ED_likely_has_little_effect_on_a_patient?s_important_outcomes._The_quantity_of_fluid_is_likely_far_more_important_than_the_type_administered.
Sodium_bicarbonate_infusions:
No_trial_has_identified_a_mortality_benefit_when_sodium_bicarbonate_is_used_in_either_bolus_or_infusion_form_to_correct_a_patient?s_serum_pH.
In_a_recent_randomized_controlled_trial_by_Jaber_et_al.,_providing_an_infusion_of_4.2%_sodium_bicarbonate_to_ICU_patients_presenting_with_metabolic_acidosis_and_a_pH_<7.20_did_not_improve_mortality._The_authors_noted_small_improvements_in_secondary_outcomes,_but_these_improvements_should_only_serve_toward_future_hypothesis_generation_and_not_clinical_application._In_addition,_a_recent_meta-analysis_examining_a_total_of_389_patients_found_no_benefit_from_bicarbonate_for_improving_mortality_in_critically_ill_patients_with_metabolic_acidosis.",The_accuracy_of_historical_and_physical_exam_findings_is_insufficient_for_the_independent_identification_of_acid-base_disorders,Because_a_patient?s_precise_pH_is,in_itself,minimally_significant,clinicians_should_instead_use_the_patient?s_history_and_physical_exam_to_elucidate_the_etiology_of_the_patient?s_presentation,Labs_and_imaging:,Arterial_vs._venous_blood_gas_analysis:_In_most_cases,a_venous_blood_gas_analysis_serves_as_an_adequate_surrogate_for_arterial_blood_gas,As_acidosis_becomes_increasingly_severe,values_of_the_arterial_and_venous_blood_gas_diverge,Because_the_precise_pH_is_minimally_significant,the_difference_between_arterial_and_venous_blood_gas_rarely_has_a_clinical_consequence,Blood_chemistry:,The_most_notable_items_are_Na+,K+,Cl?,blood_urea_nitrogen_(BUN),creatinine,and_albumin,Serum_lactate,Ketones,either_urine_or_serum,Salicylate_level,Pregnancy_test,Echo,focused_assessment_with_sonography_in_trauma,and/or_computed_tomography_if_and_when_clinically_indicated_to_help_further_elucidate_the_underlying_cause,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan

36,Adrenal_Insufficiency,"Adrenal_crisis
Do_not_wait_for_results_before_starting_treatment._If_the_suspicion_is_high,_treat_the_patient.
Resuscitate_with_IV_isotonic_crystalloids_with_dextrose_and_vasopressors_as_needed.
Correct_hypoglycemia_with_dextrose.
Stress_dose_steroids
Hydrocortisone_100_mg_IV_followed_by_either_100_mg_q8h_or_50_mg_IV_q6h.
or

Dexamethasone_4_mg_IV_q12
Dexamethasone_is_preferred_if_the_patient_is_stable_and/or_has_no_prior_diagnosis_of_adrenal_insufficiency_as_it_will_not_interfere_with_any_subsequent_cosyntropin_stimulation_testing.
PITFALLS
Treat_potential_triggers/stressors_(ie,_sepsis,_myocardial_infarction,_trauma)_of_the_adrenal_crisis._Of_note,_the_same_treatment_guidelines_apply_to_cases_of_adrenal_crises_triggered_by_COVID-19.
Adrenal_insufficiency
PERSPECTIVES
For_minor_illnesses_or_injuries,_begin_stress_steroid_dosing_at_double_to_triple_the_chronic_maintenance_dose_for_24-72_h_and/or_until_symptoms_improve._Urgent_follow-up_with_Primary_Care_and_Endocrinology_should_be_arranged_within_24_h.",In_adrenal_crises,the_presentation_can_be_quite_non-specific._The_most_common_symptoms_are_hypotension/shock_(90%),abdominal/flank/back/lower_chest_pain_(86%),and_fever_(66%),The_most_frequent_signs_and_symptoms_of_primary_adrenal_insufficiency_(also_known_as_Addison?s_disease)_include_hyperpigmentation_and_constitutional_symptoms_such_as_weakness_or_fatigue_(84%-100%),anorexia_(100%),weight_loss_(25%-100%),nausea_(25%-86%),vomiting_(25%-75%),abdominal_pain_(49%-62%),and_salt_craving_(16%-64%),If_adrenal_crisis_is_suspected,treatment_should_not_be_delayed_for_any_testing,Diagnosis,Key_tests_for_diagnosis_include_serum_chemistries_(for_sodium_and_potassium),glucose_levels,and_tests/imaging_evaluating_for_potential_triggers/stressors_(eg,infection,myocardial_infarction,trauma,substance_withdrawal),Other_labs_that_may_be_helpful_include_ACTH,aldosterone,renin_(ideally_measured_before_steroids_are_administered),thyroid_stimulating_hormone_(TSH),free_thyroxine_levels,and_coagulation_factors,If_the_patient_is_stable,random_serum_cortisol_levels_may_be_performed,In_a_patient_with_severe_sepsis/shock,a_serum_cortisol_level_>20_?g/dL_(552_nmol/L)_argues_against_adrenal_crisis,but_is_not_definitive_since_patients_can_have_variable_cortisol_levels_throughout_the_day._Cosyntropin_stimulation_testing_is_more_specific_for_the_diagnosis,Differential_Diagnosis:_The_differential_diagnosis_for_adrenal_crisis_includes_any_cause_of_shock,especially_other_types_of_distributive_shock_such_as_anaphylaxis,sepsis,or_toxicologic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan

37,Alcoholic_Ketoacidosis,"Assess_hemodynamic_status_(eg,_heart_rate,_blood_pressure,_perfusion,_mentation).
The_key_to_resuscitation_and_treatment_is_providing_intravenous_fluids,_glucose_in_patients_who_are_not_hyperglycemic,_and_thiamine,_as_well_as_electrolyte_repletion.
Resuscitate_with_crystalloid_intravenous_fluid_boluses_20_mL/kg_(eg,_0.9%_sodium_chloride,_Plasma-Lyte,_Ringer_lactate);_vasopressors_may_be_utilized_for_patients_who_do_not_improve_with_IV_fluids.
If_intubation_is_indicated,_resuscitate_before_intubation_if_possible.
Treat_any_concomitant_condition_(eg,_infection/sepsis,_intra-abdominal_pathology,_myocardial_infarction,_stroke).
These_patients_may_be_at_risk_of_ethanol_withdrawal_even_with_measurable_ethanol_levels.
Treat_with_a_benzodiazepine_(eg,_diazepam,_lorazepam,_midazolam)_or_phenobarbital_if_alcohol_withdrawal_is_suspected.
Nausea_and_vomiting_are_common_in_patients_with_alcoholic_ketoacidosis.
